_id,ANNO,ATENEO_CODICE,ATENEO_NOME,ATENEO_REGIONE,STUDENTI
ObjectId("5b1d949c66f28114a0dfc5ac"),2014,1201,Castellanza LIUC,Lombardia,1812
ObjectId("5b1d949c66f28114a0dfebd9"),2014,6307,Napoli Pegaso,Campania,6720
ObjectId("5b1d94a566f28114a0dffb2b"),2015,6307,Napoli Pegaso,Campania,7963
ObjectId("5b1d94ac66f28114a0dffe19"),2016,6307,Napoli Pegaso,Campania,21954
ObjectId("5b1d94a566f28114a0dffad9"),2015,3201,Trieste,Friuli-Venezia Giulia,15035
ObjectId("5b1d94ac66f28114a0dffc7c"),2016,3201,Trieste,Friuli-Venezia Giulia,14750
ObjectId("5b1d94ac66f28114a0dffb94"),2016,1201,Castellanza LIUC,Lombardia,2024
ObjectId("5b1d949c66f28114a0dfd23d"),2014,3201,Trieste,Friuli-Venezia Giulia,15513
ObjectId("5b1d94a566f28114a0dffaaf"),2015,1201,Castellanza LIUC,Lombardia,1938
ObjectId("5b1d94a566f28114a0dffaf1"),2015,5201,Siena,Toscana,15353
ObjectId("5b1d94ac66f28114a0dffd06"),2016,5201,Siena,Toscana,15277
ObjectId("5b1d94ac66f28114a0dffd9e"),2016,5813,Roma UNINETTUNO,Lazio,10637
ObjectId("5b1d949c66f28114a0dfe762"),2014,5813,Roma UNINETTUNO,Lazio,9277
ObjectId("5b1d94ac66f28114a0dffbce"),2016,1503,Milano Bocconi,Lombardia,13220
ObjectId("5b1d94a566f28114a0dffb11"),2015,5813,Roma UNINETTUNO,Lazio,9915
ObjectId("5b1d949c66f28114a0dfc8a1"),2014,1503,Milano Bocconi,Lombardia,13160
ObjectId("5b1d94a566f28114a0dffab9"),2015,1503,Milano Bocconi,Lombardia,13215
ObjectId("5b1d94a566f28114a0dffb01"),2015,5805,Roma LUISS,Lazio,8108
ObjectId("5b1d94ac66f28114a0dffd54"),2016,5805,Roma LUISS,Lazio,8640
ObjectId("5b1d949c66f28114a0dfe5f3"),2014,5805,Roma LUISS,Lazio,7696
ObjectId("5b1d949c66f28114a0dfebe8"),2014,6501,Salerno,Campania,34846
ObjectId("5b1d94a566f28114a0dffb2d"),2015,6501,Salerno,Campania,34769
ObjectId("5b1d94ac66f28114a0dffe23"),2016,6501,Salerno,Campania,35152
ObjectId("5b1d949c66f28114a0dfe79f"),2014,5816,Roma San Raffaele,Lazio,1390
ObjectId("5b1d94ac66f28114a0dffdb8"),2016,5816,Roma San Raffaele,Lazio,3024
ObjectId("5b1d94a566f28114a0dffb17"),2015,5816,Roma San Raffaele,Lazio,2037
ObjectId("5b1d94ac66f28114a0dffec0"),2016,8001,Reggio Calabria,Calabria,5824
ObjectId("5b1d94a566f28114a0dffb47"),2015,8001,Reggio Calabria,Calabria,6105
ObjectId("5b1d949c66f28114a0dff403"),2014,8001,Reggio Calabria,Calabria,6963
ObjectId("5b1d94ac66f28114a0dffc18"),2016,1701,Brescia,Lombardia,13862
ObjectId("5b1d949c66f28114a0dfcb80"),2014,1701,Brescia,Lombardia,14113
ObjectId("5b1d94a566f28114a0dffac7"),2015,1701,Brescia,Lombardia,13949
ObjectId("5b1d949c66f28114a0dfea6c"),2014,6303,Napoli L'Orientale,Campania,10270
ObjectId("5b1d94a566f28114a0dffb25"),2015,6303,Napoli L'Orientale,Campania,10486
ObjectId("5b1d94ac66f28114a0dffdf9"),2016,6303,Napoli L'Orientale,Campania,10805
ObjectId("5b1d94ac66f28114a0dffc5c"),2016,2702,Venezia Iuav,Veneto,4060
ObjectId("5b1d949c66f28114a0dfcf46"),2014,2702,Venezia Iuav,Veneto,4463
ObjectId("5b1d94a566f28114a0dffad3"),2015,2702,Venezia Iuav,Veneto,4219
ObjectId("5b1d949c66f28114a0dfe6db"),2014,5808,Roma Biomedico,Lazio,1640
ObjectId("5b1d94a566f28114a0dffb07"),2015,5808,Roma Biomedico,Lazio,1680
ObjectId("5b1d94ac66f28114a0dffd70"),2016,5808,Roma Biomedico,Lazio,1691
ObjectId("5b1d949c66f28114a0dfcc11"),2014,1801,Pavia,Lombardia,21165
ObjectId("5b1d94ac66f28114a0dffc24"),2016,1801,Pavia,Lombardia,21194
