ANNO_ACCADEMICO;ATENEO_CODICE;ATENEO_NOME;ATENEO_REGIONE;GRUPPO_CORSO;CLASSE_CORSO_NOME;CORSO_DI_STUDIO;STUDENTE
2014;101;Torino;Piemonte;AGRARIA;Scienze e tecnologie alimentari;Scienze Viticole ed Enologiche;6
2014;101;Torino;Piemonte;AGRARIA;Specialistiche in scienze e gestione delle risorse rurali e forestali;Difesa del Suolo e Manutenzione Forestale del Territorio;2
2014;101;Torino;Piemonte;AGRARIA;Scienze e tecnologie forestali ed ambientali;Scienze Forestali e Ambientali;53
2014;101;Torino;Piemonte;AGRARIA;Scienze e tecnologie alimentari;Scienze Viticole ed Enologiche;46
2014;101;Torino;Piemonte;AGRARIA;Scienze e tecnologie alimentari;Scienze e Tecnologie Alimentari;73
2014;101;Torino;Piemonte;AGRARIA;Scienze e tecnologie agrarie;Scienze Agrarie;61
2014;101;Torino;Piemonte;AGRARIA;Specialistiche in scienze e tecnologie agrozootecniche;Scienze e Tecnologie Zootecniche;1
2014;101;Torino;Piemonte;AGRARIA;Specialistiche in scienze e tecnologie agroalimentari;Scienze Viticole ed Enologiche;2
2014;101;Torino;Piemonte;AGRARIA;Specialistiche in scienze e tecnologie agroalimentari;Scienze e Tecnologie Agroalimentari;5
2014;101;Torino;Piemonte;AGRARIA;Specialistiche in scienze e tecnologie agrarie;Agroecologia (Già C.D.L. Spec. in Difesa Ecocompatibile delle Piante e C.D.L. Spec. in Agroingegneria Gestionale e del Territorio);1
2014;101;Torino;Piemonte;AGRARIA;Specialistiche in scienze e gestione delle risorse rurali e forestali;Scienze Forestali e Ambientali;1
2014;101;Torino;Piemonte;AGRARIA;Scienze zootecniche e tecnologie  animali;Scienze Zootecniche;31
2014;101;Torino;Piemonte;CHIMICO-FARMACEUTICA;Scienze e tecnologie della chimica industriale;Chimica Industriale;47
2014;101;Torino;Piemonte;CHIMICO-FARMACEUTICA;Specialistiche in scienze chimiche;Chimica Clinica, Forense e dello Sport;4
2014;101;Torino;Piemonte;CHIMICO-FARMACEUTICA;Specialistiche in scienze chimiche;Chimica dell'Ambiente e dei Beni Culturali;1
2014;101;Torino;Piemonte;CHIMICO-FARMACEUTICA;Scienze chimiche;Chimica Clinica, Forense e dello Sport;86
2014;101;Torino;Piemonte;CHIMICO-FARMACEUTICA;Scienze chimiche;Chimica dell'Ambiente;72
2014;101;Torino;Piemonte;CHIMICO-FARMACEUTICA;Scienze chimiche;Metodologie Chimiche Avanzate;29
2014;101;Torino;Piemonte;DIFESA E SICUREZZA;Specialistiche nelle scienze della difesa e della sicurezza;Scienze Strategiche e Militari;102
2014;101;Torino;Piemonte;DIFESA E SICUREZZA;Specialistiche nelle scienze della difesa e della sicurezza;Scienze Strategiche ed Economico-Amministrative;2
2014;101;Torino;Piemonte;DIFESA E SICUREZZA;Specialistiche nelle scienze della difesa e della sicurezza;Scienze Strategiche e Politico-Organizzative;18
2014;101;Torino;Piemonte;DIFESA E SICUREZZA;Specialistiche nelle scienze della difesa e della sicurezza;Scienze Strategiche e Logistiche;11
2014;101;Torino;Piemonte;DIFESA E SICUREZZA;Specialistiche nelle scienze della difesa e della sicurezza;Scienze Strategiche;17
2014;101;Torino;Piemonte;DIFESA E SICUREZZA;Specialistiche nelle scienze della difesa e della sicurezza;Scienze Strategiche e dei Sistemi Infrastrutturali;2
2014;101;Torino;Piemonte;ECONOMICO-STATISTICA;Scienze dell'economia;Economics;8
2014;101;Torino;Piemonte;ECONOMICO-STATISTICA;Specialistiche in scienze economico-aziendali;Professioni Contabili;10
2014;101;Torino;Piemonte;ECONOMICO-STATISTICA;Scienze statistiche attuariali e finanziarie;Quantitative Finance And Insurance - Finanza Quantitativa e Assicurazioni;67
2014;101;Torino;Piemonte;ECONOMICO-STATISTICA;Scienze statistiche;Scienze Statistiche, Economiche e Manageriali;68
2014;101;Torino;Piemonte;ECONOMICO-STATISTICA;Scienze economico-aziendali;Professioni Contabili;355
2014;101;Torino;Piemonte;ECONOMICO-STATISTICA;Scienze economico-aziendali;Management Pubblico;2
2014;101;Torino;Piemonte;ECONOMICO-STATISTICA;Scienze economico-aziendali;Finanza Aziendale e Mercati Finanziari;359
2014;101;Torino;Piemonte;ECONOMICO-STATISTICA;Scienze economico-aziendali;Economia e Direzione delle Imprese;549
2014;101;Torino;Piemonte;ECONOMICO-STATISTICA;Scienze economico-aziendali;Direzione d'Impresa, Marketing e Strategia;335
2014;101;Torino;Piemonte;ECONOMICO-STATISTICA;Scienze economico-aziendali;Business Administration;19
2014;101;Torino;Piemonte;ECONOMICO-STATISTICA;Scienze economico-aziendali;Amministrazione e Controllo Aziendale;439
2014;101;Torino;Piemonte;ECONOMICO-STATISTICA;Scienze dell'economia;Economics / Economia;34
2014;101;Torino;Piemonte;ECONOMICO-STATISTICA;Scienze dell'economia;Economia e Management;171
2014;101;Torino;Piemonte;ECONOMICO-STATISTICA;Scienze dell'economia;Economia e Diritto;1
2014;101;Torino;Piemonte;ECONOMICO-STATISTICA;Scienze dell'economia;Economia dell'Ambiente, della Cultura e del Territorio;113
2014;101;Torino;Piemonte;ECONOMICO-STATISTICA;Specialistiche in scienze dell'economia;Economia delle Istituzioni, dell'Ambiente e del Territorio;1
2014;101;Torino;Piemonte;ECONOMICO-STATISTICA;Specialistiche in statistica economica, finanziaria ed attuariale;Scienze Assicurative e Attuariali;2
2014;101;Torino;Piemonte;ECONOMICO-STATISTICA;Specialistiche in scienze economico-aziendali;Economia e Direzione delle Imprese;23
2014;101;Torino;Piemonte;ECONOMICO-STATISTICA;Specialistiche in scienze economico-aziendali;Business Administration;11
2014;101;Torino;Piemonte;ECONOMICO-STATISTICA;Specialistiche in scienze dell'economia;Scambi Internazionali;5
2014;101;Torino;Piemonte;ECONOMICO-STATISTICA;Specialistiche in scienze dell'economia;Economia e Diritto dell'Impresa;6
2014;101;Torino;Piemonte;ECONOMICO-STATISTICA;Scienze dell'economia;Economia e Management Internazionale;63
2014;101;Torino;Piemonte;ECONOMICO-STATISTICA;Scienze dell'economia;Economia , Istituzioni e Territorio;4
2014;101;Torino;Piemonte;EDUCAZIONE FISICA;Specialistiche in organizzazione e gestione dei servizi per lo sport e le attivita motorie;Manager delle Attivita' Fisiche e Sportive;2
2014;101;Torino;Piemonte;EDUCAZIONE FISICA;Scienze e tecniche dello sport;Scienze e Tecniche Avanzate dello Sport;202
2014;101;Torino;Piemonte;EDUCAZIONE FISICA;Scienze e tecniche delle attività motorie preventive e adattate;Scienze dell'Educazione Motoria e delle Attività Adattate;188
2014;101;Torino;Piemonte;EDUCAZIONE FISICA;Organizzazione e gestione dei servizi per lo sport e le attività motorie;Attività Manageriale Applicata allo Sport ed all'Attività Fisica;1
2014;101;Torino;Piemonte;EDUCAZIONE FISICA;Specialistiche in scienze e tecnica dello sport;Scienze e Tecniche dello Sport e dell'Allenamento;3
2014;101;Torino;Piemonte;EDUCAZIONE FISICA;Specialistiche in scienze e tecniche delle attivita motorie preventive e adattative;Scienze e Tecniche delle Attivita' Fisiche Adattate;3
2014;101;Torino;Piemonte;GEO-BIOLOGICA;Biologia;Biologia dell'Ambiente;113
