ANNO_ACCADEMICO;ATENEO_CODICE;ATENEO_NOME;ATENEO_REGIONE;GENERE;STUDENTI
2016/2017;101;Torino;Piemonte;F;7178
2016/2017;101;Torino;Piemonte;F;959
2016/2017;101;Torino;Piemonte;M;3496
2016/2017;101;Torino;Piemonte;M;384
2016/2017;101;Torino;Piemonte;F;18657
2016/2017;101;Torino;Piemonte;F;6411
2016/2017;101;Torino;Piemonte;M;12711
2016/2017;101;Torino;Piemonte;M;4337
2016/2017;101;Torino;Piemonte;F;7618
2016/2017;101;Torino;Piemonte;M;5089
2016/2017;101;Torino;Piemonte;F;796
2016/2017;101;Torino;Piemonte;M;322
2016/2017;102;Torino Politecnico;Piemonte;F;4104
2016/2017;102;Torino Politecnico;Piemonte;F;1258
2016/2017;102;Torino Politecnico;Piemonte;M;10652
2016/2017;102;Torino Politecnico;Piemonte;M;3568
2016/2017;102;Torino Politecnico;Piemonte;F;3363
2016/2017;102;Torino Politecnico;Piemonte;M;7894
2016/2017;201;Piemonte Orientale;Piemonte;F;1271
2016/2017;201;Piemonte Orientale;Piemonte;F;370
2016/2017;201;Piemonte Orientale;Piemonte;M;787
2016/2017;201;Piemonte Orientale;Piemonte;M;168
2016/2017;201;Piemonte Orientale;Piemonte;F;3354
2016/2017;201;Piemonte Orientale;Piemonte;F;1523
2016/2017;201;Piemonte Orientale;Piemonte;M;2251
2016/2017;201;Piemonte Orientale;Piemonte;M;962
2016/2017;201;Piemonte Orientale;Piemonte;F;557
2016/2017;201;Piemonte Orientale;Piemonte;M;380
2016/2017;401;Bra - Scienze Gastronomiche;Piemonte;F;85
2016/2017;401;Bra - Scienze Gastronomiche;Piemonte;F;33
2016/2017;401;Bra - Scienze Gastronomiche;Piemonte;M;86
2016/2017;401;Bra - Scienze Gastronomiche;Piemonte;M;42
2016/2017;401;Bra - Scienze Gastronomiche;Piemonte;F;24
2016/2017;401;Bra - Scienze Gastronomiche;Piemonte;M;21
2016/2017;701;Aosta;Valle d'Aosta;F;90
2016/2017;701;Aosta;Valle d'Aosta;F;16
2016/2017;701;Aosta;Valle d'Aosta;M;6
2016/2017;701;Aosta;Valle d'Aosta;M;2
2016/2017;701;Aosta;Valle d'Aosta;F;449
2016/2017;701;Aosta;Valle d'Aosta;F;129
2016/2017;701;Aosta;Valle d'Aosta;M;205
2016/2017;701;Aosta;Valle d'Aosta;M;50
2016/2017;701;Aosta;Valle d'Aosta;F;57
2016/2017;701;Aosta;Valle d'Aosta;M;22
2016/2017;701;Aosta;Valle d'Aosta;F;28
2016/2017;701;Aosta;Valle d'Aosta;M;3
2016/2017;1001;Genova;Liguria;F;3239
2016/2017;1001;Genova;Liguria;F;438
2016/2017;1001;Genova;Liguria;M;1904
2016/2017;1001;Genova;Liguria;M;241
2016/2017;1001;Genova;Liguria;F;8419
2016/2017;1001;Genova;Liguria;F;2322
2016/2017;1001;Genova;Liguria;M;7460
2016/2017;1001;Genova;Liguria;M;2074
2016/2017;1001;Genova;Liguria;F;2500
2016/2017;1001;Genova;Liguria;M;2363
2016/2017;1001;Genova;Liguria;F;326
2016/2017;1001;Genova;Liguria;M;210
2016/2017;1201;Castellanza LIUC;Lombardia;F;125
